id,price_per_gallon,user_id,gas_station_id,fuel_type_id,enabled,create_date,last_update,remarks
1,2.780,2,1,1,1,2025-06-12 00:00:00,2025-06-12 00:00:00,these prices stink
2,2.85,2,1,2,1,2025-06-14 00:00:00,2025-06-14 00:00:00,phew
3,2.98,2,1,3,1,2025-06-12 00:00:00,2025-06-12 00:00:00,very fragrant pricing
4,2.82,2,1,4,1,2025-06-14 00:00:00,2025-06-14 00:00:00,this place DOES stink
5,2.76,3,2,1,1,2025-06-14 00:00:00,2025-06-14 00:00:00,phew
6,2.82,3,2,2,1,2025-06-15 00:00:00,2025-06-15 00:00:00,it is gas
7,2.95,3,2,3,1,2025-06-15 00:00:00,2025-06-15 00:00:00,NULL
8,2.79,3,2,4,1,2025-06-15 00:00:00,2025-06-15 00:00:00,NULL
9,2.77,4,3,1,1,2025-06-16 00:00:00,2025-06-16 00:00:00,NULL
10,2.83,4,3,2,1,2025-06-16 00:00:00,2025-06-16 00:00:00,NULL
11,2.99,4,3,3,1,2025-06-16 00:00:00,2025-06-16 00:00:00,NULL
12,2.85,4,3,4,1,2025-06-16 00:00:00,2025-06-16 00:00:00,NULL
13,2.69,2,4,1,1,2025-06-12 00:00:00,2025-06-12 00:00:00,NULL
14,2.89,2,4,2,1,2025-06-14 00:00:00,2025-06-14 00:00:00,NULL
15,3.01,2,4,3,1,2025-06-12 00:00:00,2025-06-12 00:00:00,NULL
16,2.90,2,4,4,1,2025-06-14 00:00:00,2025-06-14 00:00:00,NULL
17,2.81,3,5,1,1,2025-06-14 00:00:00,2025-06-14 00:00:00,NULL
18,2.89,3,5,2,1,2025-06-15 00:00:00,2025-06-15 00:00:00,NULL
19,2.98,3,5,3,1,2025-06-15 00:00:00,2025-06-15 00:00:00,NULL
20,2.84,3,5,4,1,2025-06-15 00:00:00,2025-06-15 00:00:00,NULL
21,2.780,4,6,1,1,2025-06-16 00:00:00,2025-06-16 00:00:00,NULL
22,2.85,4,6,2,1,2025-06-16 00:00:00,2025-06-16 00:00:00,NULL
23,2.98,4,6,3,1,2025-06-16 00:00:00,2025-06-16 00:00:00,NULL
24,2.82,4,6,4,1,2025-06-16 00:00:00,2025-06-16 00:00:00,NULL
25,2.76,2,7,1,1,2025-06-12 00:00:00,2025-06-12 00:00:00,NULL
26,2.82,2,7,2,1,2025-06-14 00:00:00,2025-06-14 00:00:00,NULL
27,2.95,2,7,3,1,2025-06-12 00:00:00,2025-06-12 00:00:00,NULL
